scenario,time_bin,n_edges,nnz,total_weight,source_entropy_bits,destination_entropy_bits,edge_gini,top_edge_share,top_source_share,top_destination_share,unique_sources,unique_destinations,total_weight_robust_z,nnz_robust_z,source_entropy_bits_robust_z,destination_entropy_bits_robust_z,edge_gini_robust_z,top_edge_share_robust_z,top_source_share_robust_z,top_destination_share_robust_z,unique_sources_robust_z,unique_destinations_robust_z,anomaly_score,injected_anomaly
destination_attack,2,5166,4986,24275981.0,11.011620576175332,10.971096914250815,0.48050647814292513,0.0015536756269499468,0.0020818520166085153,0.0026267939491302125,2916,2862,4.1616899187221446,3.8783783783783785,3.932883249376932,1.5973005388958665,0.024117834601738247,-1.8431793408520305,-1.4611471718176712,1.7136507767937024,3.8125,1.096774193548387,20.193177055715413,False
destination_attack,3,4949,4797,22303398.0,10.933355542976491,10.945058099776961,0.47813164556026,0.001852811845082978,0.002362106437772397,0.0022555307491710455,2799,2807,-1.0932204518633168,-1.2297297297297298,-0.7789084552634885,-0.6483457322736063,-1.1259600025199719,0.926390108426989,-0.11780240479897341,-0.8416938105658285,-1.0625,-2.4516129032258065,0.926390108426989,False
destination_attack,4,4964,4820,23342823.0,10.903157364971765,10.945885795698967,0.491168224903086,0.0017363366890114362,0.0022383753670239454,0.0023748198750425343,2788,2854,1.675781010658561,-0.6081081081081081,-2.5969301030206107,-0.5769633633573791,5.1873612326287555,-0.15200165526204729,-0.7108830981107038,-0.020646041328035197,-1.5208333333333333,0.5806451612903226,2.256426171948884,False
destination_attack,5,5018,4866,23368328.0,10.941092381350906,10.956577477004245,0.480406874763768,0.001715527101468278,0.002573911150168724,0.002212096646366826,2838,2855,1.7437256745848861,0.6351351351351351,-0.3131273857008567,0.3451114215695576,-0.024117834601738247,-0.3446683884023248,0.8974420678694037,-1.1406437186627965,0.5625,0.6451612903225806,4.829075589481564,False
destination_attack,6,4995,4854,22712164.0,10.967845212708308,10.956518423403395,0.48455627160998893,0.0018513867723040393,0.002493333528236235,0.0021736810283687633,2863,2851,-0.004278342688323002,0.3108108108108108,1.2974739737236,0.34001850542771017,1.9853414363780992,0.9131959921939874,0.5112089932499538,-1.4050522071211675,1.6041666666666667,0.3870967741935484,5.363971716266277,False
destination_attack,7,4962,4802,22575711.0,10.963194062754678,10.948641340622196,0.48293476387888035,0.0017447955459741666,0.0021081063626301735,0.002186154845798655,2861,2849,-0.36778562466200826,-1.0945945945945945,1.0174606794996244,-0.3393189349559878,1.2000818278137464,-0.0736848537526403,-1.335302097926512,-1.3191969382534456,1.5208333333333333,0.25806451612903225,2.7963585289619894,False
destination_attack,8,4914,4751,22134866.0,10.930944562943917,10.942764048101484,0.4801506799562223,0.0023593998716775607,0.002685311038250695,0.0023776516198471677,2806,2845,-1.542185364658119,-2.472972972972973,-0.9240567450325909,-0.8461899388936314,-0.14818719944651912,5.616663758951485,1.4314156483035743,-0.0011555996141805825,-0.7708333333333334,0.0,7.048079407255059,False
destination_attack,9,5017,4848,22961810.0,10.94137095224017,10.948312483254025,0.4775277774219231,0.0017705050255184588,0.002790154608891895,0.0022740803098710424,2812,2829,0.6607721795838339,0.14864864864864866,-0.29635657565269397,-0.36768033840317194,-1.4183997170137956,0.16434780423553297,1.9339628031049354,-0.7140201829672743,-0.5208333333333334,-1.032258064516129,2.907731435572951,False
destination_attack,10,5016,4867,22605051.0,10.9679201180937,10.939703849529721,0.4784434052517903,0.0017607126831963352,0.002086569059277946,0.0033716800727412646,2848,2827,-0.2896246193846752,0.6621621621621622,1.3019835044692478,-1.1101083872015791,-0.9749818180559023,0.07368485375263831,-1.4385369501502723,6.840581548219668,0.9791666666666666,-1.1612903225806452,9.857578735270382,False
destination_attack,11,4937,4793,21919831.0,10.938203574624623,10.934863491114834,0.482136115096087,0.0015642000159581523,0.0024767070512541818,0.002536926493639481,2821,2835,-2.1150330732406446,-1.337837837837838,-0.48704228757825957,-1.5275518478640873,0.8133142419892045,-1.7457386950774318,0.431513226970722,1.0951076085150493,-0.14583333333333334,-0.6451612903225806,1.5266208354857713,False
destination_attack,12,4990,4838,22715376.0,10.94005525172826,10.935621468423214,0.48562080547325426,0.0016662722201912924,0.0020008473555533485,0.0023477929663149755,2810,2824,0.004278342688323002,-0.12162162162162163,-0.3755657256962079,-1.4621821699202593,2.500871167586794,-0.8006974686119909,-1.849427174968628,-0.206667884962479,-0.6041666666666666,-1.3548387096774193,0.004278342688323002,False
